cited_case_text,confidence,edge_id,edge_type,evidence,matched_keywords,mention_text,polarity,source,source_file,target,treatment
,1.0,KG_EDGE_000001,CASE_DECIDED_BY_COURT,,,,,CASE_001,case_metadata.csv,COURT_SUPREME_COURT_OF_INDIA,
,1.0,KG_EDGE_000002,CASE_DECIDED_BY_COURT,,,,,CASE_002,case_metadata.csv,COURT_SUPREME_COURT_OF_INDIA,
,1.0,KG_EDGE_000003,CASE_DECIDED_BY_COURT,,,,,CASE_003,case_metadata.csv,COURT_SUPREME_COURT_OF_INDIA,
,0.95,KG_EDGE_000004,CASE_MENTIONS_ARTICLE,,,Article 21,,CASE_001,statute_links.csv,ARTICLE_21,
,1.0,KG_EDGE_000005,ARTICLE_BELONGS_TO_ACT,,,,,ARTICLE_21,statute_links.csv,ACT_CONSTITUTION_OF_INDIA,
,0.95,KG_EDGE_000006,CASE_MENTIONS_ARTICLE,,,Article 21,,CASE_001,statute_links.csv,ARTICLE_21,
,1.0,KG_EDGE_000007,ARTICLE_BELONGS_TO_ACT,,,,,ARTICLE_21,statute_links.csv,ACT_CONSTITUTION_OF_INDIA,
,0.95,KG_EDGE_000008,CASE_MENTIONS_ARTICLE,,,Article 21,,CASE_002,statute_links.csv,ARTICLE_21,
,1.0,KG_EDGE_000009,ARTICLE_BELONGS_TO_ACT,,,,,ARTICLE_21,statute_links.csv,ACT_CONSTITUTION_OF_INDIA,
,0.95,KG_EDGE_000010,CASE_MENTIONS_ARTICLE,,,Article 21,,CASE_002,statute_links.csv,ARTICLE_21,
,1.0,KG_EDGE_000011,ARTICLE_BELONGS_TO_ACT,,,,,ARTICLE_21,statute_links.csv,ACT_CONSTITUTION_OF_INDIA,
,0.95,KG_EDGE_000012,CASE_MENTIONS_ARTICLE,,,Article 21,,CASE_003,statute_links.csv,ARTICLE_21,
,1.0,KG_EDGE_000013,ARTICLE_BELONGS_TO_ACT,,,,,ARTICLE_21,statute_links.csv,ACT_CONSTITUTION_OF_INDIA,
,0.7,KG_EDGE_000014,CASE_HAS_CONCEPT,,privacy,,,CASE_001,legal_concepts.csv,CONCEPT_PRIVACY,
,0.8,KG_EDGE_000015,CASE_HAS_CONCEPT,,privacy; right to privacy,,,CASE_001,legal_concepts.csv,CONCEPT_PRIVACY,
,0.7,KG_EDGE_000016,CASE_HAS_CONCEPT,,article 21,,,CASE_001,legal_concepts.csv,CONCEPT_PERSONAL_LIBERTY,
,0.7,KG_EDGE_000017,CASE_HAS_CONCEPT,,privacy,,,CASE_001,legal_concepts.csv,CONCEPT_PRIVACY,
,0.9,KG_EDGE_000018,CASE_HAS_CONCEPT,,personal liberty; life and personal liberty; liberty,,,CASE_001,legal_concepts.csv,CONCEPT_PERSONAL_LIBERTY,
,0.7,KG_EDGE_000019,CASE_HAS_CONCEPT,,liberty,,,CASE_001,legal_concepts.csv,CONCEPT_PERSONAL_LIBERTY,
,0.8,KG_EDGE_000020,CASE_HAS_CONCEPT,,privacy; right to privacy,,,CASE_001,legal_concepts.csv,CONCEPT_PRIVACY,
,0.7,KG_EDGE_000021,CASE_HAS_CONCEPT,,article 21,,,CASE_001,legal_concepts.csv,CONCEPT_PERSONAL_LIBERTY,
,0.7,KG_EDGE_000022,CASE_HAS_CONCEPT,,article 21,,,CASE_002,legal_concepts.csv,CONCEPT_PERSONAL_LIBERTY,
,0.7,KG_EDGE_000023,CASE_HAS_CONCEPT,,procedure established by law,,,CASE_002,legal_concepts.csv,CONCEPT_DUE_PROCESS,
,0.8,KG_EDGE_000024,CASE_HAS_CONCEPT,,personal liberty; liberty,,,CASE_002,legal_concepts.csv,CONCEPT_PERSONAL_LIBERTY,
,0.7,KG_EDGE_000025,CASE_HAS_CONCEPT,,arbitrary,,,CASE_002,legal_concepts.csv,CONCEPT_ARBITRARINESS,
,0.7,KG_EDGE_000026,CASE_HAS_CONCEPT,,article 21,,,CASE_002,legal_concepts.csv,CONCEPT_PERSONAL_LIBERTY,
,0.8,KG_EDGE_000027,CASE_HAS_CONCEPT,,personal liberty; liberty,,,CASE_002,legal_concepts.csv,CONCEPT_PERSONAL_LIBERTY,
,0.8,KG_EDGE_000028,CASE_HAS_CONCEPT,,personal liberty; liberty,,,CASE_003,legal_concepts.csv,CONCEPT_PERSONAL_LIBERTY,
,0.7,KG_EDGE_000029,CASE_HAS_CONCEPT,,article 21,,,CASE_003,legal_concepts.csv,CONCEPT_PERSONAL_LIBERTY,
,0.0,KG_EDGE_000030,CASE_HAS_HOLDING,,,,,CASE_001,case_outcomes.csv,HOLDING_CASE_001,
,0.9,KG_EDGE_000031,CASE_HAS_OUTCOME,"Decision:
The Court held that any law affecting personal liberty must be fair, just, and reasonable.",,,,CASE_002,case_outcomes.csv,OUTCOME_HELD,
,0.9,KG_EDGE_000032,CASE_HAS_HOLDING,,,,,CASE_002,case_outcomes.csv,HOLDING_CASE_002,
,0.0,KG_EDGE_000033,CASE_HAS_HOLDING,,,,,CASE_003,case_outcomes.csv,HOLDING_CASE_003,
(1978) 1 SCC 248,0.85,KG_EDGE_000034,CASE_CITES_CASE,,,,POSITIVE,CASE_001,citation_treatments.csv,CASE_002,FOLLOWED
(1978) 1 SCC 248,0.85,KG_EDGE_000035,CASE_FOLLOWS_CASE,,,,POSITIVE,CASE_001,citation_treatments.csv,CASE_002,FOLLOWED
(1978) 1 SCC 248,0.85,KG_EDGE_000036,CASE_HAS_CITATION_TREATMENT,,,,,CASE_001,citation_treatments.csv,TREATMENT_FOLLOWED,
AIR 1950 SC 27,0.85,KG_EDGE_000037,CASE_CITES_CASE,,,,POSITIVE,CASE_001,citation_treatments.csv,CASE_003,FOLLOWED
AIR 1950 SC 27,0.85,KG_EDGE_000038,CASE_FOLLOWS_CASE,,,,POSITIVE,CASE_001,citation_treatments.csv,CASE_003,FOLLOWED
AIR 1950 SC 27,0.85,KG_EDGE_000039,CASE_HAS_CITATION_TREATMENT,,,,,CASE_001,citation_treatments.csv,TREATMENT_FOLLOWED,
