:START_ID,:END_ID,:TYPE,edge_id,confidence,source_file
CASE_001,COURT_SUPREME_COURT_OF_INDIA,CASE_DECIDED_BY_COURT,KG_EDGE_000001,1.0,case_metadata.csv
CASE_002,COURT_SUPREME_COURT_OF_INDIA,CASE_DECIDED_BY_COURT,KG_EDGE_000002,1.0,case_metadata.csv
CASE_003,COURT_SUPREME_COURT_OF_INDIA,CASE_DECIDED_BY_COURT,KG_EDGE_000003,1.0,case_metadata.csv
CASE_001,ARTICLE_21,CASE_MENTIONS_ARTICLE,KG_EDGE_000004,0.95,statute_links.csv
ARTICLE_21,ACT_CONSTITUTION_OF_INDIA,ARTICLE_BELONGS_TO_ACT,KG_EDGE_000005,1.0,statute_links.csv
CASE_001,ARTICLE_21,CASE_MENTIONS_ARTICLE,KG_EDGE_000006,0.95,statute_links.csv
ARTICLE_21,ACT_CONSTITUTION_OF_INDIA,ARTICLE_BELONGS_TO_ACT,KG_EDGE_000007,1.0,statute_links.csv
CASE_002,ARTICLE_21,CASE_MENTIONS_ARTICLE,KG_EDGE_000008,0.95,statute_links.csv
ARTICLE_21,ACT_CONSTITUTION_OF_INDIA,ARTICLE_BELONGS_TO_ACT,KG_EDGE_000009,1.0,statute_links.csv
CASE_002,ARTICLE_21,CASE_MENTIONS_ARTICLE,KG_EDGE_000010,0.95,statute_links.csv
ARTICLE_21,ACT_CONSTITUTION_OF_INDIA,ARTICLE_BELONGS_TO_ACT,KG_EDGE_000011,1.0,statute_links.csv
CASE_003,ARTICLE_21,CASE_MENTIONS_ARTICLE,KG_EDGE_000012,0.95,statute_links.csv
ARTICLE_21,ACT_CONSTITUTION_OF_INDIA,ARTICLE_BELONGS_TO_ACT,KG_EDGE_000013,1.0,statute_links.csv
CASE_001,CONCEPT_PRIVACY,CASE_HAS_CONCEPT,KG_EDGE_000014,0.7,legal_concepts.csv
CASE_001,CONCEPT_PRIVACY,CASE_HAS_CONCEPT,KG_EDGE_000015,0.8,legal_concepts.csv
CASE_001,CONCEPT_PERSONAL_LIBERTY,CASE_HAS_CONCEPT,KG_EDGE_000016,0.7,legal_concepts.csv
CASE_001,CONCEPT_PRIVACY,CASE_HAS_CONCEPT,KG_EDGE_000017,0.7,legal_concepts.csv
CASE_001,CONCEPT_PERSONAL_LIBERTY,CASE_HAS_CONCEPT,KG_EDGE_000018,0.9,legal_concepts.csv
CASE_001,CONCEPT_PERSONAL_LIBERTY,CASE_HAS_CONCEPT,KG_EDGE_000019,0.7,legal_concepts.csv
CASE_001,CONCEPT_PRIVACY,CASE_HAS_CONCEPT,KG_EDGE_000020,0.8,legal_concepts.csv
CASE_001,CONCEPT_PERSONAL_LIBERTY,CASE_HAS_CONCEPT,KG_EDGE_000021,0.7,legal_concepts.csv
CASE_002,CONCEPT_PERSONAL_LIBERTY,CASE_HAS_CONCEPT,KG_EDGE_000022,0.7,legal_concepts.csv
CASE_002,CONCEPT_DUE_PROCESS,CASE_HAS_CONCEPT,KG_EDGE_000023,0.7,legal_concepts.csv
CASE_002,CONCEPT_PERSONAL_LIBERTY,CASE_HAS_CONCEPT,KG_EDGE_000024,0.8,legal_concepts.csv
CASE_002,CONCEPT_ARBITRARINESS,CASE_HAS_CONCEPT,KG_EDGE_000025,0.7,legal_concepts.csv
CASE_002,CONCEPT_PERSONAL_LIBERTY,CASE_HAS_CONCEPT,KG_EDGE_000026,0.7,legal_concepts.csv
CASE_002,CONCEPT_PERSONAL_LIBERTY,CASE_HAS_CONCEPT,KG_EDGE_000027,0.8,legal_concepts.csv
CASE_003,CONCEPT_PERSONAL_LIBERTY,CASE_HAS_CONCEPT,KG_EDGE_000028,0.8,legal_concepts.csv
CASE_003,CONCEPT_PERSONAL_LIBERTY,CASE_HAS_CONCEPT,KG_EDGE_000029,0.7,legal_concepts.csv
CASE_001,HOLDING_CASE_001,CASE_HAS_HOLDING,KG_EDGE_000030,0.0,case_outcomes.csv
CASE_002,OUTCOME_HELD,CASE_HAS_OUTCOME,KG_EDGE_000031,0.9,case_outcomes.csv
CASE_002,HOLDING_CASE_002,CASE_HAS_HOLDING,KG_EDGE_000032,0.9,case_outcomes.csv
CASE_003,HOLDING_CASE_003,CASE_HAS_HOLDING,KG_EDGE_000033,0.0,case_outcomes.csv
CASE_001,CASE_REF_1978_1_SCC_248,CASE_CITES_CASE,KG_EDGE_000034,0.85,citation_treatments.csv
CASE_001,CASE_REF_1978_1_SCC_248,CASE_FOLLOWS_CASE,KG_EDGE_000035,0.85,citation_treatments.csv
CASE_001,TREATMENT_FOLLOWED,CASE_HAS_CITATION_TREATMENT,KG_EDGE_000036,0.85,citation_treatments.csv
CASE_001,CASE_REF_AIR_1950_SC_27,CASE_CITES_CASE,KG_EDGE_000037,0.85,citation_treatments.csv
CASE_001,CASE_REF_AIR_1950_SC_27,CASE_FOLLOWS_CASE,KG_EDGE_000038,0.85,citation_treatments.csv
CASE_001,TREATMENT_FOLLOWED,CASE_HAS_CITATION_TREATMENT,KG_EDGE_000039,0.85,citation_treatments.csv
