id:ID,:LABEL,name,source
CASE_001,CASE,K.S. Puttaswamy v. Union of India,case_metadata
COURT_SUPREME_COURT_OF_INDIA,COURT,Supreme Court of India,case_metadata
CASE_002,CASE,Maneka Gandhi v. Union of India,case_metadata
CASE_003,CASE,A.K. Gopalan v. State of Madras,case_metadata
ACT_CONSTITUTION_OF_INDIA,ACT,Constitution of India,statute_links
ARTICLE_21,ARTICLE,Protection of life and personal liberty,statute_links
CONCEPT_PRIVACY,LEGAL_CONCEPT,PRIVACY,legal_concepts
CONCEPT_PERSONAL_LIBERTY,LEGAL_CONCEPT,PERSONAL_LIBERTY,legal_concepts
CONCEPT_DUE_PROCESS,LEGAL_CONCEPT,DUE_PROCESS,legal_concepts
CONCEPT_ARBITRARINESS,LEGAL_CONCEPT,ARBITRARINESS,legal_concepts
HOLDING_CASE_001,HOLDING,Holding for CASE_001,case_outcomes
OUTCOME_HELD,OUTCOME,HELD,case_outcomes
HOLDING_CASE_002,HOLDING,Holding for CASE_002,case_outcomes
HOLDING_CASE_003,HOLDING,Holding for CASE_003,case_outcomes
CASE_REF_1978_1_SCC_248,CASE,(1978) 1 SCC 248,citation_treatments
TREATMENT_FOLLOWED,CITATION_TREATMENT,FOLLOWED,citation_treatments
CASE_REF_AIR_1950_SC_27,CASE,AIR 1950 SC 27,citation_treatments
