document_id,chunks,preamble_chunks,facts_chunks,issues_chunks,arguments_chunks,reasoning_chunks,holding_chunks,order_chunks,general_chunks,structured_chunks,explicit_headings,status,error
ECOURTS_000001,7,1,0,0,2,0,0,1,3,3,0,success,
ECOURTS_000002,14,1,0,0,0,6,0,1,6,7,1,success,
ECOURTS_000003,9,1,1,0,0,1,0,1,5,3,0,success,
ECOURTS_000004,5,1,1,0,0,0,0,0,3,1,1,success,
ECOURTS_000005,6,1,0,0,0,1,0,0,4,1,1,success,
ECOURTS_000006,7,1,0,0,2,0,0,1,3,3,0,success,
ECOURTS_000007,3,1,0,0,1,0,0,1,0,2,0,success,
ECOURTS_000008,5,1,0,0,1,0,0,1,2,2,0,success,
ECOURTS_000009,3,1,0,0,1,0,0,1,0,2,0,success,
ECOURTS_000010,23,1,0,0,0,2,1,2,17,5,0,success,
ECOURTS_000011,12,1,0,2,0,2,0,1,6,5,0,success,
ECOURTS_000012,4,1,0,0,1,0,0,0,2,1,0,success,
ECOURTS_000013,8,1,0,0,1,1,0,1,4,3,0,success,
ECOURTS_000014,15,1,2,0,0,3,0,0,9,5,0,success,
ECOURTS_000015,11,1,0,0,0,0,2,0,8,2,1,success,
ECOURTS_000017,7,1,0,0,0,1,0,1,4,2,0,success,
ECOURTS_000018,4,1,0,0,1,0,0,0,2,1,0,success,
ECOURTS_000019,16,1,1,0,0,1,0,2,11,4,2,success,
ECOURTS_000020,8,1,0,0,1,1,0,1,4,3,1,success,
ECOURTS_000021,2,1,0,0,0,0,0,0,1,0,0,success,
ECOURTS_000022,2,1,0,0,0,0,0,0,1,0,0,success,
ECOURTS_000023,4,1,0,0,0,0,0,3,0,3,1,success,
ECOURTS_000024,13,1,0,0,0,2,1,1,8,4,1,success,
ECOURTS_000025,4,1,0,0,0,1,0,0,2,1,0,success,
ECOURTS_000026,3,1,0,0,1,0,0,0,1,1,0,success,
ECOURTS_000027,3,1,0,0,0,0,0,1,1,1,1,success,
ECOURTS_000028,11,1,0,0,1,1,0,2,6,4,1,success,
ECOURTS_000029,6,1,0,0,0,2,0,0,3,2,0,success,
ECOURTS_000031,10,1,0,0,1,3,0,0,5,4,0,success,
ECOURTS_000032,101,1,0,0,22,58,6,0,14,86,3,success,
ECOURTS_000034,17,1,0,0,0,2,0,0,14,2,0,success,
ECOURTS_000035,25,1,0,0,3,2,1,1,17,7,0,success,
ECOURTS_000036,7,1,0,0,1,0,0,0,5,1,1,success,
ECOURTS_000037,7,1,4,0,0,0,0,1,1,5,2,success,
ECOURTS_000038,65,1,11,1,9,36,4,1,2,62,8,success,
ECOURTS_000040,12,2,1,0,0,2,0,1,6,4,0,success,
ECOURTS_000041,4,1,0,0,0,0,0,1,2,1,1,success,
ECOURTS_000042,28,1,1,0,3,4,2,1,16,11,0,success,
ECOURTS_000043,21,1,1,1,1,3,0,1,13,7,0,success,
ECOURTS_000044,5,1,1,1,0,0,0,0,2,2,0,success,
ECOURTS_000045,45,1,3,0,6,11,1,0,23,21,0,success,
ECOURTS_000046,47,1,1,0,0,7,0,2,36,10,1,success,
ECOURTS_000047,49,1,3,0,1,3,1,0,40,8,0,success,
ECOURTS_000048,10,1,7,0,0,0,0,2,0,9,1,success,
ECOURTS_000049,21,1,0,1,1,3,1,4,10,10,0,success,
ECOURTS_000050,5,1,0,0,0,0,0,1,3,1,1,success,
ECOURTS_000051,47,1,1,0,2,4,3,1,35,11,0,success,
ECOURTS_000052,16,1,1,0,2,3,0,0,9,6,1,success,
ECOURTS_000054,30,1,1,0,0,3,0,2,23,6,1,success,
ECOURTS_000055,16,1,0,0,1,2,1,1,10,5,2,success,
ECOURTS_000061,9,1,0,0,1,1,0,1,5,3,2,success,
ECOURTS_000064,32,1,0,2,0,2,1,7,19,12,0,success,
ECOURTS_000065,14,1,0,0,1,3,0,0,9,4,0,success,
ECOURTS_000066,8,1,0,0,1,1,0,1,4,3,1,success,
ECOURTS_000067,4,1,0,0,0,0,0,1,2,1,1,success,
ECOURTS_000068,6,1,0,0,1,0,0,1,3,2,1,success,
