metric,value
temporal_validity_version,1.0.1
treatment_rows_input,1138
treatment_events_built,1138
authorities_with_timelines,664
exact_dated_events,1138
year_only_dated_events,0
undated_events,0
events_dated_by_judgment_date_extractor,1138
events_with_document_text_dates,1005
events_with_source_url_fallback_dates,133
events_with_reviewable_dates,133
judicial_treatment_events,1
positive_judicial_events,1
status_changing_judicial_events,0
party_or_nonjudicial_negative_claims_ignored,8
temporal_leakage_violations,0
authorities_with_qa_issues,0
authorities_needing_review,3
events_followed,1
events_relied_on,65
events_approved,0
events_distinguished,7
events_doubted,0
events_disapproved,0
events_overruled,1
events_referred_to,1064
status_no_observed_negative_treatment,664
status_distinguished,0
status_doubted,0
status_disapproved,0
status_overruled,0
